p 510 509
dam_criteria energy ghg status 
d 106 6.0 0.2 1
d 107 11233.0 65.7 1
d 108 29.0 1.2 1
d 109 1.6 0.1 1
d 110 2.0 0.0 1
d 111 796.4 33.5 0
d 112 199.0 2.1 0
d 113 72.0 3.2 0
d 114 70.0 3.0 0
d 115 708.0 71.2 0
d 116 9.8 0.4 0
d 117 2.5 0.0 0
d 118 13.0 0.5 0
d 119 3509.0 36.2 0
d 120 1461.0 13.6 0
d 121 1248.0 131.1 0
d 122 1.88 0.2 0
d 123 206.0 4.2 0
d 124 194.0 21.0 0
d 125 415.0 11.5 0
d 126 140.0 12.1 0
d 127 510.0 28.0 0
d 128 29.7 1.5 0
d 129 241.2 41.5 0
d 130 73.0 0.6 0
d 131 64.0 0.3 0
d 132 3.3 0.0 0
d 133 17.5 0.9 0
d 134 134.0 36.8 0
d 135 4.9 0.2 0
d 136 4.4 0.0 0
d 137 3.4 0.0 0
d 138 30.0 0.6 0
d 139 46.0 0.3 0
d 140 6.5 0.1 0
d 141 22.0 1.5 0
d 142 7.0 0.1 0
d 143 30.0 0.0 0
d 144 18.6 0.8 0
d 145 24.0 2.1 0
d 146 24.0 1.4 0
d 147 3.0 0.0 0
d 148 35.0 0.9 0
d 149 24.9 6.8 0
d 150 24.4 3.1 0
d 151 14.0 1.4 0
d 152 24.5 0.0 0
d 153 107.0 3.3 0
d 154 5.0 0.0 0
d 155 1.9 0.0 0
d 156 2.1 0.0 0
d 157 9.5 0.0 0
d 158 4.6 0.0 0
d 159 4.3 0.0 0
d 160 225.0 71.7 0
d 161 4.75 0.0 0
d 162 3.2 0.0 0
d 163 12.5 1.5 0
d 164 23.0 0.5 0
d 165 1.75 0.0 0
d 166 1.15 0.2 0
d 167 5.45 0.0 0
d 168 1.3 0.1 0
d 169 5.35 0.1 0
d 170 20.5 1.2 0
d 171 8.0 1.2 0
d 172 13.08 1.7 0
d 173 3.5 0.1 0
d 174 61.0 8.8 0
d 175 16.0 0.6 0
d 176 25.6 2.4 0
d 177 117.0 2.8 0
d 178 350.0 16.4 0
d 179 10.5 1.6 0
d 180 12.0 0.3 0
d 181 12.0 0.9 0
d 182 512.0 121.9 0
d 183 10.9 1.7 0
d 184 15.0 1.7 0
d 185 1.44 0.0 0
d 186 292.0 1.6 0
d 187 831.0 33.9 0
d 188 26.0 0.7 0
d 189 20.0 0.3 0
d 190 30.0 0.1 0
d 191 26.0 2.0 0
d 192 66.0 0.6 0
d 193 95.0 3.3 0
d 194 27.0 1.3 0
d 195 8.0 0.1 0
d 196 24.0 0.1 0
d 197 24.0 0.3 0
d 198 24.0 1.6 0
d 199 24.0 1.6 0
d 200 29.0 0.1 0
d 201 275.0 7.6 0
d 202 30.0 0.1 0
d 203 8.0 0.6 0
d 204 27.0 0.1 0
d 205 400.0 42.0 0
d 206 53.0 7.6 0
d 207 15.0 0.3 0
d 208 23.0 1.0 0
d 209 6133.0 92.0 0
d 210 2338.0 82.3 0
d 211 881.0 9.4 0
d 212 528.0 14.9 0
d 213 802.0 53.5 0
d 214 227.0 54.3 0
d 215 3336.0 78.5 0
d 216 115.5 43.5 0
d 217 267.8 29.8 0
d 218 458.2 53.6 0
d 219 131.0 16.3 0
d 220 361.1 26.1 0
d 221 399.8 29.4 0
d 222 140.5 4.1 0
d 223 15.8 0.7 0
d 224 13.4 0.4 0
d 225 150.0 10.2 0
d 226 252.0 4.2 0
d 227 34.0 0.1 0
d 228 53.0 13.9 0
d 229 68.0 2.8 0
d 230 26.0 0.1 0
d 231 75.0 5.7 0
d 232 9.8 0.2 0
d 233 24.5 0.3 0
d 234 4.0 0.4 0
d 235 14.0 0.7 0
d 236 10.7 0.1 0
d 237 40.0 0.2 0
d 238 30.0 0.2 0
d 239 6.0 0.4 0
d 240 5.5 0.3 0
d 241 6.8 0.1 0
d 242 10.1 0.0 0
d 243 3.0 0.4 0
d 244 3.4 0.2 0
d 245 3.0 0.4 0
d 246 8.8 0.1 0
d 247 1.35 0.3 0
d 248 34.0 1.5 0
d 249 22.5 0.4 0
d 250 11.5 0.5 0
d 251 9.5 0.2 0
d 252 22.0 0.5 0
d 253 7.0 0.1 0
d 254 5.8 0.1 0
d 255 5.1 0.1 0
d 256 1.65 0.3 0
d 257 9.6 0.4 0
d 258 8.2 0.9 0
d 259 6.9 0.4 0
d 260 1.45 0.4 0
d 261 7.5 0.7 0
d 262 9.0 0.1 0
d 263 870.4 23.7 0
d 264 177.8 44.5 0
d 265 225.7 4.0 0
d 266 140.5 4.7 0
d 267 186.3 2.8 0
d 268 104.1 6.6 0
d 269 9.4 0.1 0
d 270 5.2 0.1 0
d 271 7.9 0.1 0
d 272 14.0 1.1 0
d 273 8.7 1.7 0
d 274 3.4 0.1 0
d 275 6.0 0.1 0
d 276 3.9 0.2 0
d 277 1.75 0.3 0
d 278 4.05 0.5 0
d 279 3.41 0.3 0
d 280 3.88 0.5 0
d 281 4.45 0.6 0
d 282 3.32 0.5 0
d 283 4.24 1.0 0
d 284 10.0 0.1 0
d 285 12.53 0.2 0
d 286 17.04 1.1 0
d 287 10.65 0.3 0
d 288 21.76 1.5 0
d 289 13.2 0.6 0
d 290 14.85 0.5 0
d 291 18.38 0.1 0
d 292 24.15 0.3 0
d 293 12.0 0.2 0
d 294 7.5 0.1 0
d 295 4.3 0.0 0
d 296 3.9 0.0 0
d 297 3.2 0.2 0
d 298 3.4 0.1 0
d 299 11.1 0.2 0
d 300 11.1 0.5 0
d 301 10.4 0.4 0
d 302 6.1 0.0 0
d 303 4.6 0.2 0
d 304 13.0 0.0 0
d 305 13.0 0.2 0
d 306 10.0 0.1 0
d 307 5.5 0.1 0
d 308 6.7 0.4 0
d 309 6.6 0.3 0
d 310 8.9 0.5 0
d 311 5.9 0.2 0
d 312 6.5 0.3 0
d 313 6.5 0.3 0
d 314 2.55 0.3 0
d 315 5.7 0.1 0
d 316 1.09 0.2 0
d 317 2.55 0.0 0
d 318 5.55 0.0 0
d 319 11.8 1.2 0
d 320 28.0 1.1 0
d 321 23.8 0.4 0
d 322 21.9 2.7 0
d 323 30.0 0.4 1
d 324 665.0 6.2 0
d 325 3.0 0.5 0
d 326 45.4 0.0 1
d 327 6.8 0.0 1
d 328 73.0 0.6 1
d 329 28.05 0.0 1
d 330 156.0 0.0 1
d 331 216.0 0.0 1
d 332 10.4 0.0 1
d 333 37.5 0.0 1
d 334 38.1 0.0 1
d 335 1587.0 2.0 1
d 336 49.95 0.0 1
d 337 170.0 1.1 1
d 338 180.0 0.1 1
d 339 2.4 0.0 1
d 340 3.96 0.0 1
d 341 2.25 0.0 1
d 342 10.32 0.0 1
d 343 2.15 0.0 1
d 344 6.2 0.0 1
d 345 1500.0 0.4 1
d 346 198.2 0.0 0
d 347 4.0 0.0 0
d 348 4.6 0.0 0
d 349 31.62 0.0 0
d 350 5.6 0.0 0
d 351 97.67 0.0 0
d 352 1440.0 0.8 0
d 353 47.0 0.0 0
d 354 261.0 0.1 0
d 355 1800.0 1.1 0
d 356 39.2 0.0 0
d 357 84.7 0.0 0
d 358 51.1 0.0 0
d 359 77.3 0.0 0
d 360 25.6 0.0 0
d 361 40.1 0.0 0
d 362 9.27 0.0 0
d 363 3.0 0.0 0
d 364 24.2 0.0 0
d 365 27.0 0.0 0
d 366 270.0 0.1 0
d 367 26.0 0.0 0
d 368 1172.0 0.3 0
d 369 748.0 0.2 0
d 370 460.0 0.2 0
d 371 25.0 0.0 0
d 372 170.0 0.1 0
d 373 596.0 0.0 0
d 374 3600.0 3.8 0
d 375 5.85 0.0 0
d 376 16.8 0.0 0
d 377 6.6 0.0 0
d 378 14.7 0.0 0
d 379 18.7 0.0 0
d 380 30.0 0.0 0
d 381 22.28 0.0 0
d 382 138.0 0.0 1
d 383 10.2 0.0 1
d 384 30.0 0.0 1
d 385 49.71 0.0 1
d 386 7.59 0.0 1
d 387 50.0 0.0 1
d 388 39.5 0.0 1
d 389 9.1 0.0 1
d 390 456.0 0.6 1
d 391 2.24 0.0 1
d 392 4.7 0.0 1
d 393 5.4 0.0 1
d 394 110.0 0.4 1
d 395 110.0 2.9 1
d 396 3.18 0.0 1
d 397 5.4 0.0 1
d 398 5.0 0.0 1
d 399 12.67 0.3 1
d 400 3.59 0.0 1
d 401 4.3 0.0 1
d 402 113.68 0.6 1
d 403 134.0 0.9 1
d 404 5.9 0.0 1
d 405 43.0 0.0 1
d 406 152.0 0.0 1
d 407 13.33 0.0 1
d 408 54.4 0.4 1
d 409 9.0 0.0 1
d 410 5.6 0.0 1
d 411 9.0 0.6 1
d 412 513.0 2.6 1
d 413 3.84 0.0 1
d 414 798.0 0.1 1
d 415 192.0 0.7 1
d 416 210.0 2.3 1
d 417 6.2 0.0 1
d 418 3.86 0.0 1
d 419 16.2 0.2 0
d 420 80.0 1.3 0
d 421 5.8 0.1 0
d 422 115.0 0.8 0
d 423 345.0 2.8 0
d 424 459.0 5.1 0
d 425 94.0 0.8 0
d 426 264.0 1.7 0
d 427 180.0 1.1 0
d 428 1000.0 36.1 0
d 429 372.0 1.8 0
d 430 4.8 0.1 0
d 431 70.0 0.4 0
d 432 205.8 1.1 0
d 433 120.0 2.2 0
d 434 380.0 4.6 0
d 435 256.0 1.1 0
d 436 2200.0 48.1 0
d 437 315.0 2.4 0
d 438 300.0 2.7 0
d 439 1525.0 111.4 0
d 440 4500.0 696.9 0
d 441 1800.0 111.5 0
d 442 825.0 1.9 0
d 443 350.0 2.2 0
d 444 330.0 0.0 0
d 445 600.0 4.7 0
d 446 600.0 4.1 0
d 447 730.0 4.6 0
d 448 340.0 1.1 0
d 449 915.0 7.1 0
d 450 20.0 0.2 0
d 451 290.0 7.1 0
d 452 240.0 2.2 0
d 453 64.2 0.0 0
d 454 61.0 0.4 0
d 455 16.6 0.2 0
d 456 320.0 0.5 0
d 457 240.0 3.2 0
d 458 390.0 1.1 0
d 459 300.0 1.9 0
d 460 220.0 1.0 0
d 461 140.0 0.8 0
d 462 180.0 0.6 0
d 463 25.0 0.1 0
d 464 200.0 0.3 0
d 465 210.0 1.1 0
d 466 160.0 2.0 0
d 467 154.1 13.0 0
d 468 4.0 0.0 0
d 469 300.0 6.1 0
d 470 100.0 0.3 0
d 471 192.0 1.4 0
d 472 20.0 0.2 0
d 473 10.0 0.1 0
d 474 10.0 0.1 0
d 475 579.0 8.9 0
d 476 607.0 8.4 0
d 477 64.0 0.3 0
d 478 195.0 0.9 0
d 479 1286.0 28.0 0
d 480 620.0 9.6 0
d 481 97.5 0.8 0
d 482 1379.0 95.8 0
d 483 286.0 1.8 0
d 484 800.0 6.5 0
d 485 750.0 4.4 0
d 486 20.0 0.2 0
d 487 62.06 0.2 0
d 488 19.42 0.2 0
d 489 280.0 0.6 0
d 490 327.9 4.3 0
d 491 49.7 0.2 0
d 492 188.59 1.5 0
d 493 90.7 0.6 0
d 494 1074.0 13.0 0
d 495 100.0 1.8 0
d 496 942.0 13.5 0
d 497 268.0 1.0 0
d 498 150.0 0.7 0
d 499 69.9 0.3 0
d 500 98.7 1.3 0
d 501 350.0 1.6 0
d 502 750.0 7.6 0
d 503 20.0 0.3 0
d 504 19.9 0.0 1
d 505 19.9 0.1 1
d 506 19.9 0.1 1
d 507 19.9 0.3 1
d 508 18.4 0.2 1
d 509 12.8 0.0 1
r 0
e 0 1 107
e 0 2 88
e 0 3 191
e 0 4 235
e 0 5 239
e 0 6 244
e 0 7 248
e 0 8 207
e 0 9 209
e 0 10 222
e 0 11 111
e 0 12 178
e 0 13 77
e 0 14 180
e 0 15 81
e 0 16 196
e 0 17 198
e 0 18 324
e 0 19 468
e 0 20 475
e 0 21 496
e 0 22 469
e 0 23 428
e 0 24 420
e 0 25 346
e 0 26 440
e 0 27 467
e 0 28 94
e 0 29 325
e 0 30 115
e 0 31 91
e 0 32 93
e 0 33 194
e 0 34 263
e 0 35 90
e 346 347 97
e 347 348 96
e 341 342 320
e 342 343 319
e 349 350 271
e 298 303 183
e 299 300 83
e 296 313 179
e 297 298 85
e 297 299 181
e 294 295 79
e 199 204 502
e 198 199 501
e 198 200 500
e 198 201 497
e 195 196 485
e 195 197 486
e 195 198 495
e 196 205 484
e 190 191 474
e 192 193 478
e 192 194 481
e 271 272 36
e 272 273 35
e 273 274 34
e 274 275 33
e 275 276 38
e 276 277 37
e 277 278 23
e 279 280 30
e 279 281 22
e 449 454 165
e 449 455 162
e 448 449 168
e 448 450 161
e 442 443 164
e 441 444 172
e 440 441 175
e 440 442 146
e 446 447 156
e 445 446 155
e 108 109 464
e 109 110 465
e 102 103 460
e 103 104 466
e 100 113 399
e 101 102 459
e 107 108 462
e 104 105 463
e 104 106 400
e 104 107 461
e 39 40 265
e 33 44 193
e 32 46 195
e 30 48 113
e 37 38 186
e 36 37 89
e 35 36 187
e 34 39 264
e 438 448 170
e 439 445 154
e 435 437 163
e 435 438 152
e 435 439 147
e 435 440 174
e 432 433 279
e 433 434 278
e 430 431 281
e 431 432 280
e 339 340 105
e 339 341 321
e 338 344 314
e 335 337 205
e 334 345 269
e 334 346 100
e 337 338 206
e 337 339 322
e 331 332 103
e 330 351 203
e 332 333 99
e 332 334 101
e 332 335 104
e 332 336 98
e 345 349 270
e 6 476 245
e 99 100 455
e 99 101 458
e 98 99 456
e 91 92 450
e 91 93 451
e 90 91 449
e 93 94 457
e 93 95 507
e 94 96 452
e 97 98 454
e 96 97 453
e 238 240 437
e 234 247 28
e 235 237 432
e 235 238 434
e 235 239 433
e 237 241 394
e 231 279 32
e 232 271 40
e 233 234 26
e 233 235 436
e 233 236 431
e 1 492 106
e 1 493 108
e 1 494 299
e 1 495 61
e 1 496 62
e 142 143 332
e 142 144 347
e 142 145 327
e 142 146 328
e 143 147 348
e 141 142 372
e 130 131 382
e 130 132 340
e 130 133 384
e 130 134 354
e 130 135 338
e 130 136 353
e 498 499 301
e 499 500 109
e 499 501 302
e 134 137 339
e 494 498 300
e 139 140 383
e 139 141 330
e 138 148 371
e 490 491 188
e 493 503 293
e 25 138 329
e 25 139 331
e 26 74 374
e 26 75 441
e 27 51 385
e 27 52 361
e 27 53 369
e 27 54 368
e 27 55 380
e 27 56 381
e 27 57 388
e 27 58 345
e 20 175 479
e 21 164 490
e 23 149 427
e 23 150 390
e 23 151 426
e 23 152 422
e 406 407 173
e 405 406 305
e 404 405 306
e 403 404 227
e 402 408 137
e 401 402 132
e 401 403 228
e 409 410 136
e 408 409 135
e 379 380 312
e 378 379 311
e 371 372 143
e 370 371 151
e 372 373 171
e 374 375 72
e 377 378 310
e 376 377 309
e 393 394 67
e 392 393 69
e 88 89 446
e 89 90 448
e 397 398 73
e 396 397 141
e 395 396 68
e 394 395 139
e 82 85 447
e 399 400 76
e 81 114 358
e 86 87 444
e 87 88 445
e 85 86 443
e 7 464 249
e 7 465 257
e 244 245 506
e 247 248 27
e 247 249 1
e 247 250 13
e 247 251 12
e 247 252 11
e 247 253 19
e 247 254 20
e 241 242 395
e 241 243 505
e 243 244 504
e 242 246 435
e 249 262 2
e 458 459 212
e 459 460 214
e 450 451 159
e 451 452 158
e 452 453 169
e 454 456 167
e 456 457 166
e 178 179 472
e 178 180 407
e 178 181 477
e 178 182 471
e 178 183 470
e 178 184 402
e 177 195 494
e 176 177 482
e 176 178 476
e 175 176 480
e 173 174 498
e 171 172 417
e 171 173 499
e 170 171 492
e 180 192 406
e 181 186 405
e 186 187 509
e 187 188 404
e 184 185 403
e 188 189 410
e 189 190 473
e 11 314 221
e 11 315 218
e 10 324 223
e 13 293 80
e 13 294 78
e 12 296 272
e 12 297 182
e 15 217 82
e 17 214 200
e 16 215 197
e 322 323 219
e 320 321 47
e 326 458 211
e 327 328 215
e 324 325 224
e 328 329 119
e 328 330 201
e 328 331 95
e 329 355 120
e 201 202 503
e 202 203 418
e 205 206 483
e 207 208 416
e 206 207 412
e 209 210 409
e 209 211 411
e 209 212 413
e 208 209 414
e 77 78 397
e 76 77 439
e 75 76 438
e 74 118 352
e 74 119 334
e 74 120 333
e 74 121 349
e 74 122 336
e 74 124 373
e 78 79 356
e 78 80 376
e 78 81 359
e 78 82 442
e 78 83 396
e 78 84 398
e 8 461 208
e 122 123 351
e 124 125 335
e 125 126 337
e 126 127 350
e 126 128 326
e 129 130 355
e 414 415 230
e 415 416 65
e 416 417 145
e 417 418 150
e 410 411 157
e 412 420 291
e 413 414 138
e 418 419 176
e 319 320 216
e 318 319 46
e 310 312 185
e 317 318 45
e 316 317 44
e 315 316 217
e 314 322 220
e 496 497 60
e 3 489 189
e 368 369 70
e 368 370 149
e 369 374 71
e 366 367 307
e 366 368 74
e 367 376 308
e 364 382 63
e 365 366 148
e 362 363 129
e 363 364 128
e 363 365 134
e 360 361 125
e 360 362 231
e 361 385 160
e 380 381 313
e 382 383 133
e 383 384 144
e 385 386 229
e 385 387 225
e 386 412 292
e 386 413 177
e 387 388 130
e 387 389 131
e 388 401 153
e 389 390 64
e 258 259 17
e 259 260 15
e 66 67 344
e 66 68 386
e 67 69 343
e 250 255 14
e 256 257 41
e 257 258 16
e 255 256 42
e 506 507 297
e 506 508 296
e 507 509 298
e 505 506 295
e 503 504 110
e 503 505 294
e 501 502 303
e 469 470 251
e 465 466 258
e 464 469 250
e 467 468 260
e 466 467 259
e 461 462 261
e 462 463 262
e 168 169 489
e 169 170 415
e 164 165 488
e 165 166 487
e 166 167 493
e 167 168 491
e 160 161 393
e 160 162 391
e 161 163 392
e 9 326 213
e 9 327 210
e 356 358 226
e 356 359 127
e 355 356 121
e 355 357 122
e 353 354 204
e 352 353 202
e 351 352 102
e 359 360 124
e 358 435 126
e 358 436 123
e 217 218 29
e 215 216 199
e 210 213 408
e 218 219 118
e 218 220 316
e 218 221 57
e 218 222 304
e 218 223 117
e 218 224 55
e 218 225 53
e 218 226 56
e 218 227 52
e 218 228 51
e 218 229 48
e 218 230 43
e 218 231 31
e 218 232 39
e 218 233 25
e 219 292 58
e 289 291 317
e 4 483 236
e 280 282 24
e 282 283 21
e 285 286 49
e 284 287 50
e 263 264 6
e 262 263 5
e 260 261 18
e 267 268 8
e 267 269 9
e 266 267 4
e 265 266 3
e 264 265 7
e 269 270 10
e 58 59 362
e 58 60 365
e 58 61 364
e 58 62 387
e 58 63 342
e 58 64 363
e 58 65 377
e 54 71 366
e 56 70 379
e 62 66 378
e 53 72 367
e 52 73 360
e 114 115 341
e 116 117 375
e 111 112 401
e 110 111 508
e 118 129 370
e 429 430 282
e 428 429 283
e 421 422 289
e 420 421 290
e 423 424 287
e 422 423 288
e 425 426 285
e 424 425 286
e 427 428 284
e 426 427 75
e 308 309 274
e 309 310 87
e 309 311 86
e 300 301 84
e 300 302 323
e 303 304 184
e 303 305 275
e 304 308 273
e 305 306 276
e 306 307 277
e 229 284 59
e 229 285 116
e 226 288 54
e 220 289 318
e 220 290 315
e 391 392 140
e 390 391 66
e 151 158 425
e 150 159 429
e 153 154 424
e 153 155 389
e 152 153 423
e 154 156 421
e 154 157 419
e 159 160 430
e 80 116 357
e 398 399 142
e 48 49 112
e 49 50 114
e 46 47 92
e 44 45 192
e 42 43 267
e 40 41 268
e 41 42 266
e 5 479 240
e 489 490 190
e 487 488 234
e 486 487 233
e 484 485 238
e 484 486 232
e 483 484 237
e 481 482 243
e 480 481 242
e 472 473 254
e 473 474 255
e 470 471 252
e 471 472 253
e 476 477 246
e 477 478 247
e 474 475 256
e 479 480 241
